Logical Address,Physical Address
24163,99
54249,489
27651,515
26179,835
57809,1233
25846,1526
33439,1695
44863,1855
23285,2293
41858,2434
47685,2629
2340,2852
9148,3260
13598,3358
22804,3604
16372,4084
46807,4311
62829,4461
61267,4691
23353,4921
1094,5190
49610,5578
54298,5658
10212,6116
62761,4393
34181,6277
5998,6510
29089,6817
14986,7050
19537,7249
31213,7661
61913,7897
7343,8111
12764,8412
40348,8604
33708,8876
52576,9056
30639,9391
43140,9604
35404,9804
45233,10161
29574,10374
27495,10599
25118,10782
45709,11149
26504,11400
14438,11622
60996,11844
59732,12116
46149,12357
9550,12622
15063,7127
6646,13046
40586,13194
33767,8935
49742,13390
42689,13761
54563,13859
63251,14099
15738,14458
14509,11693
4479,14719
48199,14919
2514,3026
54162,402
19828,15220
1031,5127
33906,15474
32544,15648
11765,16117
28686,16142
58795,16555
26700,16716
28165,16901
5737,17257
26710,16726
61179,12027
48232,14952
24445,17533
4795,17851
59060,18100
17247,18271
16874,18666
36002,18850
934,19110
43640,19320
55670,19574
4200,19816
18525,20061
60100,20420
8922,20698
17080,20920
21625,21113
58064,21456
59749,12133
2012,21724
5016,21912
28208,16944
20673,22209
52879,22415
14344,11528
44661,22645
37419,22827
25943,23127
18594,20130
36543,23487
56603,23579
22622,23902
44707,22691
24817,24305
33366,1622
5122,24322
44620,22604
3730,24722
53823,24895
17761,25185
520,25352
28245,16981
47697,2641
21835,25675
45403,25947
58109,21501
32161,26273
289,26401
22956,3756
11322,26682
42486,27126
62417,27345
19999,27423
60312,27800
32095,26207
8072,28040
10213,6117
26564,11460
40277,8533
30904,28344
45224,10152
3107,28451
64391,28807
31154,7602
44918,1910
35766,29110
36904,29224
20840,29544
42615,13687
55772,19676
1757,29917
47006,30110
60358,27846
6955,30251
52115,30611
11677,16029
54139,379
20492,22028
32135,26247
17908,25332
54307,5667
33013,30965
36515,23459
41251,31011
3172,28516
44606,22590
27688,552
50926,31470
16323,4035
14750,31646
55719,19623
38340,31940
37101,29421
51126,32182
33066,32298
4257,19873
50834,31378
45728,11168
10582,32598
59855,12239
14712,31608
693,25525
57981,21373
37698,32834
1940,21652
45234,10162
39228,33084
23287,2295
9322,33386
56944,33648
44704,22688
45159,10087
29592,10392
11928,33944
6581,12981
57023,33727
58291,34227
4967,21863
57672,1096
17438,34334
4414,14654
12984,34744
57502,34974
56892,33596
17887,25311
25744,1424
26663,16679
56245,35253
22656,23936
28350,17086
46001,35505
25960,23144
37520,22928
13973,35733
35089,35857
62146,36290
56763,23739
17112,20952
38172,31772
33560,8728
44359,36423
18767,36687
58440,36936
18846,36766
24240,176
43973,37317
18096,37552
52528,9008
12194,37794
28255,16991
13109,37941
1038,5134
21259,38155
8189,28157
8963,3075
46401,38465
65000,38888
44235,39115
33695,8863
31664,39344
31156,7604
15831,14551
9642,12714
58964,18004
54458,5818
14497,11681
63349,14197
13462,39574
36667,39739
28886,16342
8001,27969
64674,40098
64438,28854
35878,18726
9513,12585
45087,10015
58183,34119
25460,40308
37201,40529
39779,40803
46282,12490
17806,25230
32549,15653
30057,41065
20718,22254
16579,41411
58440,36936
15939,41539
44706,22690
9464,33528
12355,41795
35655,28999
59405,41997
48182,14902
46920,30024
5539,42403
36068,18916
3386,42554
37051,29371
63274,14122
166,42918
39385,33241
42189,43213
48319,15039
54682,13978
43139,9603
14319,43503
11255,43767
33847,15415
20488,22024
21112,43896
18698,36618
26231,887
6016,6528
3636,24628
44990,1982
61195,4619
61516,44108
16021,41621
55178,44426
53181,44733
35409,9809
52941,22477
11727,16079
40315,8571
5292,24492
25673,1353
65221,44997
15634,14354
32189,26301
7700,45076
51407,45519
41018,45626
26686,16702
51367,45479
36126,45854
58339,34275
31215,7663
29791,46175
9257,33321
6782,46462
24806,24294
41683,46803
58880,17920
12389,41829
19677,7389
19961,15353
16968,20808
45488,26032
52370,46994
40681,13289
58825,16585
10658,32674
35351,9751
62741,4373
26855,16871
20758,29462
38226,31826
23177,2185
59622,42214
32944,30896
52474,47098
19732,15124
27957,47157
58024,21416
33813,15381
33964,15532
18525,20061
